83,AXAHF,AXA SA,103.75B,48.05,0.48%,94.48B,2025-06-20
84,AXAHY,AXA SA,103.75B,49.23,2.67%,94.48B,2025-06-20
85,NTDOF,"Nintendo Co., Ltd.",101.69B,89.95,-1.27%,7.78B,2025-06-20
86,NTDOY,"Nintendo Co., Ltd.",101.69B,21.82,-4.63%,7.78B,2025-06-20
87,MPNGF,Meituan,100.02B,16.59,-6.02%,48.35B,2025-06-20
88,MPNGY,Meituan,100.02B,32.55,-3.15%,48.35B,2025-06-20
89,RYCEF,Rolls-Royce Holdings plc,98.99B,12.05,-0.03%,23.67B,2025-06-20
90,RYCEY,Rolls-Royce Holdings plc,98.99B,12.16,0.37%,23.67B,2025-06-20
91,UNCFF,UniCredit S.p.A.,98.87B,65.84,2.07%,26.15B,2025-06-20
92,UNCRY,UniCredit S.p.A.,98.87B,32.20,-0.80%,26.15B,2025-06-20
93,ENNPF,Enbridge Inc.,97.58B,17.01,0.06%,42.40B,2025-06-20
94,FRCOF,"Fast Retailing Co., Ltd.",96.89B,320.00,-,21.92B,2025-06-20
95,FRCOY,"Fast Retailing Co., Ltd.",96.89B,31.41,-3.09%,21.92B,2025-06-20
96,IITSF,Intesa Sanpaolo S.p.A.,96.84B,5.64,1.26%,27.49B,2025-06-20
97,ISNPY,Intesa Sanpaolo S.p.A.,96.84B,33.23,-0.06%,27.49B,2025-06-20
98,DBSDF,DBS Group Holdings Ltd,96.73B,36.03,3.06%,16.25B,2025-06-20
99,DBSDY,DBS Group Holdings Ltd,96.73B,136.45,-0.77%,16.25B,2025-06-20
100,RLXXF,RELX PLC,96.15B,51.05,-2.86%,11.81B,2025-06-20
101,ZFSVF,Zurich Insurance Group AG,95.92B,695.00,1.24%,68.72B,2025-06-20
102,ZURVY,Zurich Insurance Group AG,95.92B,33.95,-0.12%,68.72B,2025-06-20
103,BNPQF,BNP Paribas SA,95.49B,85.95,-2.11%,49.87B,2025-06-20
104,BNPQY,BNP Paribas SA,95.49B,42.74,-2.60%,49.87B,2025-06-20
105,SMFNF,"Sumitomo Mitsui Financial Group, Inc.",95.17B,24.95,-0.40%,34.86B,2025-06-20
106,RTNTF,Rio Tinto Group,94.42B,68.00,-5.56%,53.66B,2025-06-20
107,RTPPF,Rio Tinto Group,94.42B,59.00,1.90%,53.66B,2025-06-20
108,KYCCF,Keyence Corporation,93.85B,385.50,-3.20%,7.12B,2025-06-20
109,ENLAY,Enel SpA,92.58B,9.18,1.21%,84.69B,2025-06-20
110,ESOCF,Enel SpA,92.58B,9.17,0.96%,84.69B,2025-06-20
111,BCMXY,"Bank of Communications Co., Ltd.",91.49B,20.15,-,28.68B,2025-06-20
112,AAGIY,AIA Group Limited,90.92B,34.58,-0.29%,22.47B,2025-06-20
113,SNPMF,China Petroleum & Chemical Corporation,90.14B,0.511,-5.16%,416.17B,2025-06-20
114,RNMBF,Rheinmetall AG,89.88B,"1,950.95",-3.39%,11.32B,2025-06-20
115,RNMBY,Rheinmetall AG,89.88B,400.68,0.28%,11.32B,2025-06-20
116,BKFCF,"Bank of Communications Co., Ltd.",89.64B,0.710,-21.11%,28.68B,2025-06-20
117,AAIGF,AIA Group Limited,89.47B,8.54,-2.80%,22.47B,2025-06-20
118,CHDRF,Christian Dior SE,88.84B,522.78,0.03%,87.67B,2025-06-20
119,CHDRY,Christian Dior SE,88.84B,124.05,-2.52%,87.67B,2025-06-20
120,SFTBY,SoftBank Group Corp.,87.92B,30.36,1.85%,48.37B,2025-06-20
121,IVSBF,Investor AB (publ),87.14B,27.79,-3.17%,10.41B,2025-06-20
122,IVSXF,Investor AB (publ),87.14B,26.39,-11.26%,10.41B,2025-06-20
123,NPPXF,Nippon Telegraph and Telephone Corporation,86.46B,1.080,0.93%,91.52B,2025-06-20
124,NTTYY,Nippon Telegraph and Telephone Corporation,86.46B,26.55,0.08%,91.52B,2025-06-20
125,SFTBF,SoftBank Group Corp.,85.64B,58.21,-2.98%,48.37B,2025-06-20
126,BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",84.86B,15.26,-2.80%,34.61B,2025-06-20
127,MURGF,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,82.50B,649.04,1.55%,66.84B,2025-06-20
128,MURGY,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,82.50B,12.96,1.73%,66.84B,2025-06-20
129,NETTF,"NetEase, Inc.",82.33B,27.29,-0.80%,14.78B,2025-06-20
130,BPAQF,BP p.l.c.,82.19B,5.25,-0.94%,185.41B,2025-06-20
131,MHVIY,"Mitsubishi Heavy Industries, Ltd.",81.58B,48.24,-1.09%,33.57B,2025-06-20
132,MHVYF,"Mitsubishi Heavy Industries, Ltd.",81.58B,23.35,-3.91%,33.57B,2025-06-20
133,CHGCF,"Chugai Pharmaceutical Co., Ltd.",81.40B,52.67,9.73%,8.16B,2025-06-20
134,CHGCY,"Chugai Pharmaceutical Co., Ltd.",81.40B,24.59,-1.74%,8.16B,2025-06-20
135,SBKFF,State Bank of India,80.67B,94.63,11.05%,40.13B,2025-06-20
136,RCRUY,"Recruit Holdings Co., Ltd.",78.53B,10.65,-2.56%,23.76B,2025-06-20
137,SMEGF,Siemens Energy AG,78.40B,101.75,-0.25%,40.47B,2025-06-20
138,SMNEY,Siemens Energy AG,78.40B,101.13,0.53%,40.47B,2025-06-20
139,GLAXF,GSK plc,78.01B,19.51,-3.99%,40.74B,2025-06-20
140,RCRRF,"Recruit Holdings Co., Ltd.",77.22B,56.69,5.06%,23.76B,2025-06-20
141,BAESF,BAE Systems plc,77.16B,25.77,-2.98%,32.94B,2025-06-20
142,BAESY,BAE Systems plc,77.16B,103.72,-1.17%,32.94B,2025-06-20
143,NABZY,National Australia Bank Limited,76.71B,12.58,-1.33%,12.50B,2025-06-20
144,NAUBF,National Australia Bank Limited,76.71B,25.40,27.77%,12.50B,2025-06-20
145,LDNXF,London Stock Exchange Group plc,76.66B,146.11,-0.61%,11.09B,2025-06-20
146,LNSTY,London Stock Exchange Group plc,76.66B,36.90,0.05%,11.09B,2025-06-20
147,STOHF,Equinor ASA,76.63B,27.63,2.33%,106.80B,2025-06-20
148,TKOMF,"Tokio Marine Holdings, Inc.",76.17B,38.59,-9.22%,53.30B,2025-06-20
149,TKOMY,"Tokio Marine Holdings, Inc.",76.17B,39.71,-2.74%,53.30B,2025-06-20
150,VCISF,Vinci SA,75.91B,142.01,0.61%,75.34B,2025-06-20
151,VCISY,Vinci SA,75.91B,34.77,-1.92%,75.34B,2025-06-20
